# path	name	features	autoloads	description
third_party/Godot-Game-Template	Game Template	4.7	AppConfig,SceneLoader,ProjectMusicController,ProjectUISoundController	
third_party/ShaderV	ShaderV	4.2		
third_party/Starter-Kit-3D-Platformer	Starter Kit 3D Platformer	4.6, Forward Plus	Audio	
third_party/Starter-Kit-City-Builder	Starter Kit City Builder	4.6, Forward Plus	Audio	
third_party/Starter-Kit-FPS	Starter Kit FPS	4.6, Forward Plus	Audio	
third_party/Terrain3D/project	Terrain3D	4.5		
third_party/beehave	Beehave	4.7	BeehaveGlobalMetrics,BeehaveGlobalDebugger	
third_party/godot-demo-projects/2d/bullet_shower	Bullet Shower	4.7		Demonstrates how to manage large amounts of objects efficiently using low-level Servers.
third_party/godot-demo-projects/2d/custom_drawing	Custom Drawing in 2D	4.7, Mobile		A demo showing how to draw 2D elements in Godot without using nodes.
third_party/godot-demo-projects/2d/dodge_the_creeps	Dodge the Creeps	4.7		
third_party/godot-demo-projects/2d/drawable_textures	Drawable Textures	4.7		
third_party/godot-demo-projects/2d/dynamic_tilemap_layers	Dynamic TileMap Layers	4.7		
third_party/godot-demo-projects/2d/finite_state_machine	Hierarchical Finite State Machine	4.7		
third_party/godot-demo-projects/2d/glow	Glow for 2D	4.7		
third_party/godot-demo-projects/2d/hexagonal_map	Hexagonal Game	4.7		Very simple demo showing a hexagonal TileMap and TileSet.
third_party/godot-demo-projects/2d/instancing	Scene Instancing Demo	4.7		
third_party/godot-demo-projects/2d/isometric	Isometric Game	4.7		
third_party/godot-demo-projects/2d/kinematic_character	Kinematic Character 2D	4.7		
third_party/godot-demo-projects/2d/light2d_as_mask	2D Lights as Mask	4.7		Example of how to use 2D lights to mask objects on screen.
third_party/godot-demo-projects/2d/lights_and_shadows	2D Lights and Shadows	4.7		
third_party/godot-demo-projects/2d/navigation	Navigation Polygon 2D	4.7		
third_party/godot-demo-projects/2d/navigation_astar	Grid-based Pathfinding with AStarGrid2D	4.7		
third_party/godot-demo-projects/2d/navigation_mesh_chunks	Navigation Mesh Chunks 2D	4.7, GL Compatibility		
third_party/godot-demo-projects/2d/particles	2D GPUParticles	4.7		This demo showcases how 2D particle systems work in Godot.
third_party/godot-demo-projects/2d/physics_platformer	Physics-Based Platformer 2D	4.7		
third_party/godot-demo-projects/2d/physics_tests	2D Physics Tests	4.7	Log,System	
third_party/godot-demo-projects/2d/platformer	Platformer 2D	4.7	Music	
third_party/godot-demo-projects/2d/polygons_lines	2D Polygons and Lines	4.7		
third_party/godot-demo-projects/2d/pong	Pong with GDScript	4.7		
third_party/godot-demo-projects/2d/role_playing_game	JRPG Demo	4.7		
