# path	class_name	extends	lines	signals	funcs
third_party/Godot-Game-Template/addons/maaacks_game_template/base/nodes/autoloads/app_config/app_config.gd		Node	10		_ready
third_party/Godot-Game-Template/addons/maaacks_game_template/base/nodes/autoloads/music_controller/music_controller.gd	MusicController	Node	184		fade_out,_set_sub_audio_volume_db,fade_in,blend_to,stop,play,_fade_out_and_free,_play_and_fade_in,_is_matching_stream,_connect_stream_on_tree_exiting,_blend_and_remove_stream_player,_blend_and_connect_stream_player,play_stream_player,get_stream_player,play_stream,_clone_music_player,_reparent_music_player,_node_matches_checks,_on_removed_music_player,_on_added_music_player,_enter_tree,_exit_tree
third_party/Godot-Game-Template/addons/maaacks_game_template/base/nodes/autoloads/scene_loader/scene_loader.gd	SceneLoaderClass	Node	127	scene_loaded	_check_scene_path,get_status,get_progress,get_resource,change_scene_to_resource,change_scene_to_loading_screen,set_loading_screen,is_loading_scene,has_loading_screen,_check_loading_screen,reload_current_scene,load_scene,_unhandled_key_input,_ready,_process
third_party/Godot-Game-Template/addons/maaacks_game_template/base/nodes/autoloads/ui_sound_controller/ui_sound_controller.gd	UISoundController	Node	208		_update_persistent_signals,_build_stream_player,_build_button_stream_players,_build_tab_stream_players,_build_slider_stream_players,_build_line_stream_players,_build_item_list_stream_players,_build_tree_stream_players,_build_all_stream_players,_play_stream,_tab_event_play_stream,_slider_drag_ended_play_stream,_line_event_play_stream,_item_list_play_stream,_tree_button_clicked_play_stream,_connect_stream_player,connect_ui_sounds,_recursive_connect_ui_sounds,_ready,_exit_tree
third_party/Godot-Game-Template/addons/maaacks_game_template/base/nodes/config/app_settings.gd	AppSettings	Node	188		get_config_input_events,set_config_input_events,_clear_config_input_events,remove_action_input_event,set_input_from_config,_get_action_names,_get_custom_action_names,get_action_names,reset_to_default_inputs,set_default_inputs,set_inputs_from_config,get_bus_volume,set_bus_volume,is_muted,set_mute,get_audio_bus_name,set_audio_from_config,set_fullscreen_enabled,set_resolution,is_fullscreen,get_resolution,_on_window_size_changed,_set_fullscreen_from_config,set_vsync,get_vsync,_set_v_sync_from_config,set_video_from_config,set_from_config,set_from_config_and_window
third_party/Godot-Game-Template/addons/maaacks_game_template/base/nodes/config/player_config.gd	PlayerConfig	Object	56		_save_config_file,load_config_file,set_config,get_config,has_section,has_section_key,erase_section,erase_section_key,get_section_keys
third_party/Godot-Game-Template/addons/maaacks_game_template/base/nodes/input_hint/input_hint.gd		Control	96		_get_input_event,_refresh,_ready,_input,_on_cycle_delay_timeout,_on_update_delay_timeout
third_party/Godot-Game-Template/addons/maaacks_game_template/base/nodes/labels/config_name_label.gd		Label	18		update_name_label,_ready
third_party/Godot-Game-Template/addons/maaacks_game_template/base/nodes/labels/config_version_label.gd		Label	17		update_version_label,_ready
third_party/Godot-Game-Template/addons/maaacks_game_template/base/nodes/labels/credits_label.gd		RichTextLabel	114		load_file,regex_replace_imgs,regex_replace_urls,regex_replace_titles,_update_text_from_file,set_file_path,_on_meta_clicked,_ready
