# path	shader_type	lines	uniforms
third_party/Terrain3D/project/addons/terrain_3d/extras/particle_example/grass.gdshader	spatial	69	wind_direction
third_party/Terrain3D/project/addons/terrain_3d/extras/particle_example/particles.gdshader	particles	315	main_noise,main_noise_scale,position_offset,align_to_normal,normal_strength,random_rotation,random_spacing,min_scale,max_scale,noise_scale,wind_speed,wind_strength,wind_dithering,wind_direction,clod_scale_boost,clod_min_threshold,clod_max_threshold,patch_min_threshold,patch_max_threshold,texture_filter,condition_dither_range,surface_slope_min,distance_fade_ammount,ground_level,region_blend,max_dist,camera_position,instance_rows,instance_spacing,_background_mode,_vertex_spacing,_vertex_density,_region_size,_region_texel_size,_region_map_size,_region_map,_region_locations,sampler2DArray,sampler2DArray,sampler2DArray
third_party/Terrain3D/project/addons/terrain_3d/extras/shaders/lightweight.gdshader	spatial	455	_target_pos,_mesh_size,_background_mode,_mouse_layer,_vertex_spacing,_vertex_density,_subdiv,_region_size,_region_texel_size,_region_map_size,_region_map,_region_locations,_texture_normal_depth_array,_texture_ao_strength_array,_texture_ao_affect_array,_texture_roughness_mod_array,_texture_uv_scale_array,_texture_color_array,sampler2DArray,sampler2DArray,sampler2DArray,sampler2DArray,sampler2DArray,ground_level,region_blend,flat_terrain_normals,textures_enabled,blend_sharpness,auto_slope,auto_height_reduction,auto_base_texture,auto_overlay_texture,macro_variation_enabled,macro_variation1,macro_variation2,macro_variation_slope,sampler2D,noise1_scale,noise1_angle,noise1_offset,noise2_scale
third_party/Terrain3D/project/addons/terrain_3d/extras/shaders/minimum.gdshader	spatial	260	_target_pos,_mesh_size,_subdiv,_background_mode,_mouse_layer,_vertex_spacing,_vertex_density,_region_size,_region_texel_size,_region_map_size,_region_map,sampler2DArray,sampler2DArray,flat_terrain_normals
third_party/Terrain3D/project/addons/terrain_3d/extras/shaders/ocean_shader.gdshader	spatial	265	sea_level,water_color,visible_depth,depth_curve,shore_blend,refraction_strength,time_scale,height_scale,ocean_scale,fresnel_scale,fresnel_power,specular,foam_enabled,foam_height,foam_top_intensity,foam_distance,foam_shore_enabled,foam_shore_intensity,foam_noise_texture,foam_noise_scale,light_scattering_enabled,height_scattering,height_threshold,height_angle_threshold,fersnel_scattering,direct_scattering,_mesh_size,_subdiv,_vertex_spacing,_vertex_density,_target_pos,_light_direction,_light_color,depth_texture,screen_texture
third_party/godot-demo-projects/2d/screen_space_shaders/shaders/BCS.gdshader	canvas_item	16	screen_texture,brightness,contrast,saturation
third_party/godot-demo-projects/2d/screen_space_shaders/shaders/blur.gdshader	canvas_item	8	screen_texture,amount
third_party/godot-demo-projects/2d/screen_space_shaders/shaders/contrasted.gdshader	canvas_item	9	screen_texture
third_party/godot-demo-projects/2d/screen_space_shaders/shaders/mirage.gdshader	canvas_item	14	screen_texture,frequency,depth
third_party/godot-demo-projects/2d/screen_space_shaders/shaders/negative.gdshader	canvas_item	9	screen_texture
third_party/godot-demo-projects/2d/screen_space_shaders/shaders/normalized.gdshader	canvas_item	8	screen_texture
third_party/godot-demo-projects/2d/screen_space_shaders/shaders/old_film.gdshader	canvas_item	34	screen_texture,base,grain,grain_strength,vignette,fps,stretch,flashing
third_party/godot-demo-projects/2d/screen_space_shaders/shaders/pixelize.gdshader	canvas_item	12	screen_texture,size_x,size_y
third_party/godot-demo-projects/2d/screen_space_shaders/shaders/sepia.gdshader	canvas_item	11	screen_texture,base
third_party/godot-demo-projects/2d/screen_space_shaders/shaders/vignette.gdshader	canvas_item	11	screen_texture,vignette
third_party/godot-demo-projects/2d/screen_space_shaders/shaders/whirl.gdshader	canvas_item	14	screen_texture,rotation
third_party/godot-demo-projects/2d/sprite_shaders/shaders/aura.gdshader	canvas_item	35	aura_width,aura_color
third_party/godot-demo-projects/2d/sprite_shaders/shaders/blur.gdshader	canvas_item	17	radius
third_party/godot-demo-projects/2d/sprite_shaders/shaders/dissintegrate.gdshader	canvas_item	14	amount
third_party/godot-demo-projects/2d/sprite_shaders/shaders/dropshadow.gdshader	canvas_item	24	radius,modulate
third_party/godot-demo-projects/2d/sprite_shaders/shaders/fatty.gdshader	canvas_item	17	fattyness
third_party/godot-demo-projects/2d/sprite_shaders/shaders/glow.gdshader	canvas_item	37	radius,amount
third_party/godot-demo-projects/2d/sprite_shaders/shaders/offsetshadow.gdshader	canvas_item	14	offset,modulate
third_party/godot-demo-projects/2d/sprite_shaders/shaders/outline.gdshader	canvas_item	30	outline_width,outline_color
third_party/godot-demo-projects/2d/sprite_shaders/shaders/silouette.gdshader	canvas_item	8	modulate
third_party/godot-demo-projects/3d/labels_and_texts/curvature.gdshader	spatial	10	
third_party/godot-demo-projects/3d/platformer/stage/skybox.gdshader	sky	11	source_panorama,exposure
third_party/godot-demo-projects/3d/procedural_materials/shaders/plasma.gdshader	canvas_item	12	noise1,noise2
third_party/godot-demo-projects/3d/sky_shaders/sky_volumetric_clouds.gdshader	sky	320	worlnoise,perlworlnoise,cloud_map,cloud_density,cloud_coverage,cloud_time_scale,cloud_time_offset,cloud_direction,cloud_steps_range,clouds_screen_lod,cloud_modulate,cloud_camera_position_mult,cloud_camera_height,rayleigh,rayleigh_color,mie,mie_eccentricity,mie_color,turbidity,sun_disk_scale,ground_color,exposure,space_emit,space_emit_color,space_emit_angle,space_emit_strength
third_party/godot-demo-projects/3d/sprites/shaders/negative.gdshader	spatial	14	texture_albedo
third_party/godot-demo-projects/3d/sprites/shaders/paper.gdshader	spatial	29	texture_albedo,outline_thickness,outline_color
third_party/godot-demo-projects/3d/sprites/shaders/paper_emission.gdshader	spatial	34	texture_albedo,normal_map,outline_thickness,outline_color
third_party/godot-demo-projects/3d/sprites/shaders/paper_material.gdshader	spatial	34	texture_albedo,normal_map,outline_thickness,outline_color
third_party/godot-demo-projects/3d/sprites/shaders/paper_rainbow.gdshader	spatial	38	texture_albedo,normal_map,outline_thickness,outline_color
